"Tijdstempel","Wat is uw leeftijd?","Welke activiteiten vindt u leuk om te doen (met vrienden)?","Wat is iets wat u altijd al heeft willen doen?","Heeft u wel eens met pech langs de weg gestaan","Op welke plek(ken) heeft u met pech langs de weg gestaan?","Werd u snel genoeg geholpen?"
"2018/02/28 1:36:53 p.m. EET","24 - 35","Fisten","2 fisten in 1 kont krijgen ","Nee","",""
"2018/02/28 1:49:48 p.m. EET","24 - 35","Iets drinken, uiteten, bioscoop, winkelen","Vliegvakantie","Ja","In het centrum","Ja"
"2018/02/28 1:51:51 p.m. EET","24 - 35","Vakantie, weekendje weg, sleutelen","Parachute springen","Ja","In het centrum","Ja"
"2018/02/28 1:52:35 p.m. EET","24 - 35","Avond stappen","Wereldreis","Ja","In het centrum","Ja"
"2018/02/28 1:56:31 p.m. EET","24 - 35","Stappen","Reis naar AziÃ«","Nee","",""
"2018/02/28 2:04:12 p.m. EET","24 - 35","Uitgaan","Teleporteren","Ja","Langs de snelweg","Ja"
"2018/02/28 2:06:14 p.m. EET","24 - 35","uitgaan, muziek maken, gamen, voetballen","Parachute springen","Ja"," Thuis, Parkeergarage","Nee"
"2018/02/28 2:06:57 p.m. EET","24 - 35","Stappen.","Met een luchtbalon mee","Nee","",""
"2018/02/28 2:12:30 p.m. EET","50 +","","","","",""
"2018/02/28 2:29:12 p.m. EET","24 - 35","Bier drinken ","Surfen","Nee","",""
"2018/02/28 3:49:04 p.m. EET","16 - 23","","","","",""
"2018/02/28 4:03:56 p.m. EET","16 - 23","","","","",""
"2018/02/28 4:08:57 p.m. EET","16 - 23","","","","",""
"2018/02/28 4:38:11 p.m. EET","24 - 35","Bier drinken","-","Ja","Langs de snelweg","Nee"
"2018/02/28 10:49:25 p.m. EET","24 - 35","Cafe","Wereldreis","Ja","Op de oprit","Ja"
"2018/03/01 12:17:29 a.m. EET","24 - 35","Midgetgolfen, bowlen","Ik heb altijd al brandweerman willen worden","Ja","Langs de snelweg;In het centrum;In de polder;In de sloot","Nee"
"2018/03/01 3:06:23 a.m. EET","24 - 35","Keiharde orgies met een vriendin","Beastiality haha","Ja","Langs de snelweg","Nee"